jornada_id;club;P_tira;bandas_ok;bandas_faltantes
3/12/2023|CEDEM|EL PALOMAR;EL PALOMAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|ESTUDIANTIL PORTEÑO|CLUB PORTUGUES DEL GRAN BUENOS AIRES;ESTUDIANTIL PORTEÑO;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|ESTUDIANTIL PORTEÑO|CLUB PORTUGUES DEL GRAN BUENOS AIRES;CLUB PORTUGUES DEL GRAN BUENOS AIRES;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|LOS INDIOS DE MORENO|CEDEM;CEDEM;0.3;U17,U19;U11,U13,U15,U9
10/12/2023|LOS INDIOS DE MORENO|CEDEM;LOS INDIOS DE MORENO;0.3;U17,U19;U11,U13,U15,U9
17/12/2023|LOS INDIOS DE MORENO|CLUB PORTUGUES DEL GRAN BUENOS AIRES;LOS INDIOS DE MORENO;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|LOS INDIOS DE MORENO|CLUB PORTUGUES DEL GRAN BUENOS AIRES;CLUB PORTUGUES DEL GRAN BUENOS AIRES;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|PRESIDENTE DERQUI|NOLTING;PRESIDENTE DERQUI;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|PRESIDENTE DERQUI|NOLTING;NOLTING;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|GIMNASIA Y ESGRIMA DE ITUZAINGO|HURACAN DE SAN JUSTO;HURACAN DE SAN JUSTO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|GIMNASIA Y ESGRIMA DE ITUZAINGO|HURACAN DE SAN JUSTO;GIMNASIA Y ESGRIMA DE ITUZAINGO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|LOS INDIOS DE MORENO|C.A.S.A PADUA;LOS INDIOS DE MORENO;0.45;U15,U17,U19;U11,U13,U9
3/12/2023|LOS INDIOS DE MORENO|C.A.S.A PADUA;C.A.S.A PADUA;0.45;U15,U17,U19;U11,U13,U9
3/12/2023|A.F.A.L.P.|CLARIDAD;A.F.A.L.P.;0.3;U17,U19;U11,U13,U15,U9
3/12/2023|A.F.A.L.P.|CLARIDAD;CLARIDAD;0.3;U17,U19;U11,U13,U15,U9
10/12/2023|PRESIDENTE DERQUI|GIMNASIA Y ESGRIMA DE ITUZAINGO;PRESIDENTE DERQUI;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|PRESIDENTE DERQUI|GIMNASIA Y ESGRIMA DE ITUZAINGO;GIMNASIA Y ESGRIMA DE ITUZAINGO;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|LOS INDIOS DE MORENO|CLARIDAD;LOS INDIOS DE MORENO;0.3;U17,U19;U11,U13,U15,U9
10/12/2023|LOS INDIOS DE MORENO|CLARIDAD;CLARIDAD;0.3;U17,U19;U11,U13,U15,U9
17/12/2023|LOS INDIOS DE MORENO|GIMNASIA Y ESGRIMA DE ITUZAINGO;LOS INDIOS DE MORENO;0.7;U11,U13,U19,U9;U15,U17
17/12/2023|LOS INDIOS DE MORENO|GIMNASIA Y ESGRIMA DE ITUZAINGO;GIMNASIA Y ESGRIMA DE ITUZAINGO;0.7;U11,U13,U19,U9;U15,U17
3/12/2023|RACING CLUB|TEMPERLEY;RACING CLUB;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|RACING CLUB|TEMPERLEY;TEMPERLEY;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|TRISTAN SUAREZ|VARELA JRS;TRISTAN SUAREZ;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|TRISTAN SUAREZ|VARELA JRS;VARELA JRS;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|WILDE SPORTING|CAÑUELAS FC;CAÑUELAS FC;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|WILDE SPORTING|CAÑUELAS FC;WILDE SPORTING;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|GIMNASIA Y ESGRIMA DE LA PLATA|BERAZATEGUI;GIMNASIA Y ESGRIMA DE LA PLATA;0.3;U15,U19;U11,U13,U17,U9
3/12/2023|GIMNASIA Y ESGRIMA DE LA PLATA|BERAZATEGUI;BERAZATEGUI;0.3;U15,U19;U11,U13,U17,U9
10/12/2023|RACING CLUB|VARELA JRS;RACING CLUB;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|RACING CLUB|VARELA JRS;VARELA JRS;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|WILDE SPORTING|GIMNASIA Y ESGRIMA DE LA PLATA;GIMNASIA Y ESGRIMA DE LA PLATA;0.14999999999999997;U19;U11,U13,U15,U17,U9
