anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;B;5;17/11/2019;SIERO BIBLIOTECA;47;BURZACO FC B;31
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;B;6;24/11/2019;BURZACO FC B;73;MUNICIPALIDAD DE AVELLANEDA;38
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;1;29/9/2019;VILLEGAS BASQUET;54;COOPERARIOS;30
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;1;29/9/2019;INSTITUTO GLEW;51;OLIMPO;74
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;1;29/9/2019;DEFENSORES DE BANFIELD;92;BOCA JUNIORS AMARILLO;81
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;2;6/10/2019;DEFENSORES DE BANFIELD;65;VILLEGAS BASQUET;33
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;2;6/10/2019;BOCA JUNIORS AMARILLO;80;INSTITUTO GLEW;67
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;2;6/10/2019;OLIMPO;101;COOPERARIOS;27
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;3;20/10/2019;VILLEGAS BASQUET;32;OLIMPO;72
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;3;20/10/2019;COOPERARIOS;22;BOCA JUNIORS AMARILLO;93
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;3;20/10/2019;INSTITUTO GLEW;50;DEFENSORES DE BANFIELD;65
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;4;10/11/2019;INSTITUTO GLEW;84;VILLEGAS BASQUET;54
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;4;10/11/2019;DEFENSORES DE BANFIELD;84;COOPERARIOS;27
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;4;10/11/2019;BOCA JUNIORS AMARILLO;63;OLIMPO;34
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;5;17/11/2019;VILLEGAS BASQUET;40;BOCA JUNIORS AMARILLO;49
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;5;17/11/2019;OLIMPO;74;DEFENSORES DE BANFIELD;76
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;A;5;17/11/2019;COOPERARIOS;37;INSTITUTO GLEW;63
2019;JUVENILES;Fase Regular;3ra Fase;2;SUR;B;1;29/9/2019;VILLA IDEAL;48;G.E DE LOMAS DE ZAMORA B;41
