anio,categoria,zona,equipo,partidos
2025,INFANTILES MASCULINO,SUR,VARELA JRS,26
2025,INFANTILES MASCULINO,CENTRO,ARQUITECTURA BLANCO  B,26
2025,INFANTILES MASCULINO,SUR,INDEPENDIENTE DE BURZACO,26
2025,INFANTILES MASCULINO,NORTE,"NAUTICO HACOAJ AZUL ""B""",28
2025,INFANTILES MASCULINO,NORTE,SAN FERNANDO BLANCO (B),29
2025,INFANTILES MASCULINO,NORTE,CLUB 3 DE FEBRERO BLANCO A,29
2025,INFANTILES MASCULINO,NORTE,COPELLO,28
2025,INFANTILES MASCULINO,SUR,QUILMES A.C.,26
2025,INFANTILES MASCULINO,OESTE,HURACAN DE SAN JUSTO ROJO,28
2025,INFANTILES MASCULINO,OESTE,DEFENSORES DE HURLINGHAM  BLANCO B,28
2025,INFANTILES MASCULINO,OESTE,CLUB CEPA,28
2025,INFANTILES MASCULINO,SUR,COOPERARIOS,26
2025,INFANTILES MASCULINO,OESTE,DEFENSORES DE MORENO NEGRO,25
2025,INFANTILES MASCULINO,CENTRO,YUPANQUI,26
2025,INFANTILES MASCULINO,SUR,INDEPENDIENTE ROJO,26
2025,INFANTILES MASCULINO,NORTE,CLUB ATLETICO PILAR,26
2025,INFANTILES MASCULINO,NORTE,17 DE AGOSTO,29
2025,INFANTILES MASCULINO,SUR,CAÑUELAS FC,14
2025,INFANTILES MASCULINO,SUR,GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA,28
2025,INFANTILES MASCULINO,SUR,BERAZATEGUI,12
2025,INFANTILES MASCULINO,CENTRO,IMPERIO NEGRO,26
2025,INFANTILES MASCULINO,OESTE,CEDEM,29
2025,INFANTILES MASCULINO,OESTE,PORTEÑO AZUL A,18
2025,INFANTILES MASCULINO,NORTE,PRESIDENTE DERQUI,30
2025,INFANTILES MASCULINO,SUR,TRISTAN SUAREZ,26
2025,INFANTILES MASCULINO,NORTE,BANADE ROJO,31
2025,INFANTILES MASCULINO,SUR,VILLEGAS BASQUET,28
2025,INFANTILES MASCULINO,NORTE,CLUB SPORTIVO PILAR,27
2025,INFANTILES MASCULINO,NORTE,BANCO PROVINCIA,30
2025,INFANTILES MASCULINO,CENTRO,"JOSE HERNANDEZ ""B""",26
2025,INFANTILES MASCULINO,NORTE,CAZA Y PESCA BLANCO B,28
2025,INFANTILES MASCULINO,NORTE,HARRODS GATH Y CHAVES,30
2025,INFANTILES MASCULINO,SUR,COLON FC,28
2025,INFANTILES MASCULINO,SUR,MONTE GRANDE B NEGRO,25
2025,INFANTILES MASCULINO,OESTE,VELEZ SARSFIELD BLANCO - A,32
2025,INFANTILES MASCULINO,SUR,GUILLON BASQUET,25
2025,INFANTILES MASCULINO,SUR,"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",23
2025,INFANTILES MASCULINO,OESTE,CLUB PORTUGUES DEL GRAN BUENOS AIRES,30
2025,INFANTILES MASCULINO,SUR,TEMPERLEY,28
2025,INFANTILES MASCULINO,OESTE,MORON ROJO,28
2025,INFANTILES MASCULINO,SUR,DEFENSORES DE BANFIELD,26
2025,INFANTILES MASCULINO,NORTE,NAUTICO BUCHARDO B,28
2025,INFANTILES MASCULINO,SUR,CLUB SOCIAL ALEJANDRO KORN,30
2025,INFANTILES MASCULINO,CENTRO-OESTE,CLARIDAD,26
2025,INFANTILES MASCULINO,CENTRO,MACABI,25
2025,INFANTILES MASCULINO,NORTE,COOPERATIVA TORTUGUITAS,28
